ticker,date,price,volume,daily_return
AECI,2017-03-07,6.8,0,
AECI,2017-03-09,7.98,849023,0.17352941176470593
AECI,2017-03-10,7.98,0,0.0
AECI,2017-03-14,7.98,0,0.0
AECI,2017-03-15,7.98,0,0.0
AECI,2017-03-16,8.0,1000,0.0025062656641603454
AECI,2017-03-17,8.0,0,0.0
AECI,2017-03-20,8.0,0,0.0
AECI,2017-03-21,8.0,0,0.0
AECI,2017-03-22,8.0,0,0.0
AECI,2017-03-23,8.0,6250,0.0
AECI,2017-03-24,8.5,1500,0.0625
AECI,2017-03-27,8.5,0,0.0
AECI,2017-03-30,8.5,0,0.0
AECI,2017-04-03,8.5,135,0.0
AECI,2017-04-05,8.5,0,0.0
AECI,2017-04-06,8.5,0,0.0
AECI,2017-04-07,8.5,0,0.0
AECI,2017-04-10,9.78,387,0.15058823529411747
AECI,2017-04-25,16.58,0,0.6952965235173822
AECI,2017-04-26,16.58,1194,0.0
AECI,2017-04-27,16.58,1306,0.0
AECI,2017-04-28,16.58,0,0.0
AECI,2017-05-08,16.58,0,0.0
AECI,2017-05-09,16.58,0,0.0
AECI,2017-05-10,16.58,1000,0.0
AECI,2017-05-11,16.58,0,0.0
AECI,2017-05-12,16.58,0,0.0
AECI,2017-05-15,17.0,2000,0.02533172496984326
AECI,2017-05-16,19.0,5568,0.11764705882352944
AECI,2017-05-17,19.0,0,0.0
AECI,2017-05-18,19.0,1432,0.0
AECI,2017-05-19,19.0,0,0.0
AECI,2017-05-22,19.0,0,0.0
AECI,2017-05-23,19.0,0,0.0
AECI,2017-05-24,19.0,0,0.0
AECI,2017-05-26,19.0,0,0.0
AECI,2017-05-29,19.0,0,0.0
AECI,2017-05-30,19.0,0,0.0
AECI,2017-05-31,19.0,0,0.0
AECI,2017-06-01,19.0,1364,0.0
AECI,2017-06-05,19.0,0,0.0
AECI,2017-06-06,19.0,0,0.0
AECI,2017-06-07,19.0,0,0.0
AECI,2017-06-08,19.0,0,0.0
AECI,2017-06-12,18.99,2579,-0.0005263157894738191
AECI,2017-06-13,18.99,0,0.0
AECI,2017-06-14,18.99,0,0.0
AECI,2017-06-15,18.99,0,0.0
AECI,2017-06-16,18.99,0,0.0
AECI,2017-06-19,18.99,0,0.0
AECI,2017-06-20,19.0,21049,0.0005265929436546468
AECI,2017-06-26,19.0,0,0.0
AECI,2017-06-28,19.0,0,0.0
AECI,2017-06-29,19.0,0,0.0
AECI,2017-06-30,19.0,0,0.0
AECI,2017-07-05,19.0,0,0.0
AECI,2017-07-07,19.0,0,0.0
AECI,2017-07-12,19.0,0,0.0
AECI,2017-07-13,19.0,0,0.0
AECI,2017-07-14,19.0,0,0.0
AECI,2017-07-18,19.0,0,0.0
AECI,2017-07-19,19.0,0,0.0
AECI,2017-07-20,19.0,0,0.0
AECI,2017-07-21,19.0,0,0.0
AECI,2017-07-24,19.0,0,0.0
AECI,2017-07-25,19.0,0,0.0
AECI,2017-07-26,19.0,0,0.0
AECI,2017-07-27,19.0,0,0.0
AECI,2017-07-28,19.0,0,0.0
AECI,2017-07-31,19.0,0,0.0
AECI,2017-08-01,19.0,0,0.0
AECI,2017-08-02,19.0,0,0.0
AECI,2017-08-03,19.0,0,0.0
AECI,2017-08-04,19.0,0,0.0
AECI,2017-08-08,19.0,0,0.0
AECI,2017-08-09,19.0,0,0.0
