index_date,luse_index
2018-08-21,5236.54
2018-08-22,5248.67
2018-08-23,5244.66
2018-08-24,5264.2
2018-08-25,5264.2
2018-08-26,5264.2
2018-08-27,5244.66
2018-08-28,5295.45
2018-08-29,5275.91
2018-08-30,5258.12
2018-08-31,5230.77
2018-09-01,5230.77
2018-09-02,5230.77
2018-09-03,5230.77
2018-09-04,5234.32
2018-09-05,5261.67
2018-09-06,5242.13
2018-09-07,5234.32
2018-09-08,5234.32
2018-09-09,5234.32
2018-09-10,5230.41
2018-09-11,5222.71
2018-09-12,5222.71
2018-09-13,5243.56
2018-09-14,5276.17
2018-09-15,5276.17
2018-09-16,5276.17
2018-09-17,5256.63
2018-09-18,5233.68
2018-09-19,5257.54
2018-09-20,5262.16
2018-09-21,5262.16
2018-09-22,5262.16
2018-09-23,5262.16
2018-09-24,5262.16
2018-09-25,5262.16
2018-09-26,5272.57
2018-09-27,5468.17
2018-09-28,5468.17
2018-09-29,5468.17
2018-09-30,5468.17
2018-10-01,5468.17
2018-10-02,5457.76
2018-10-03,5457.76
2018-10-04,5445.74
2018-10-05,5445.74
2018-10-06,5445.74
2018-10-07,5445.74
2018-10-08,5316.65
2018-10-09,5284.07
2018-10-10,5293.21
2018-10-11,5272.63
2018-10-12,5264.61
2018-10-13,5264.61
2018-10-14,5264.61
2018-10-15,5244.59
2018-10-16,5246.7
2018-10-17,5250.61
2018-10-18,5250.61
2018-10-19,5250.61
2018-10-20,5250.61
2018-10-21,5250.61
2018-10-22,5312.36
2018-10-23,5241.94
2018-10-24,5241.94
2018-10-25,5241.94
2018-10-26,5218.63
2018-10-27,5218.63
2018-10-28,5218.63
2018-10-29,5222.44
2018-10-30,5225.12
2018-10-31,5229.03
2018-11-01,5225.12
2018-11-02,5240.75
2018-11-03,5240.75
2018-11-04,5240.75
2018-11-05,5240.75
2018-11-06,5253.02
2018-11-07,5277.07
2018-11-08,5291.84
2018-11-09,5291.33
2018-11-10,5291.33
2018-11-11,5291.33
2018-11-12,5311.88
2018-11-13,5300.14
2018-11-14,5292.91
2018-11-15,5296.92
2018-11-16,5284.65
2018-11-17,5284.65
2018-11-18,5284.65
2018-11-19,5280.74
2018-11-20,5280.74
2018-11-21,5280.62
2018-11-22,5282.24
2018-11-23,5282.24
2018-11-24,5282.24
2018-11-25,5282.24
2018-11-26,5278.33
2018-11-27,5278.33
2018-11-28,5278.33
2018-11-29,5278.33
2018-11-30,5278.33
2018-12-01,5343.25
2018-12-02,5343.25
2018-12-03,5343.25
2018-12-04,5343.25
2018-12-05,5343.25
2018-12-06,5343.25
2018-12-07,5343.25
2018-12-08,5343.25
2018-12-09,5343.25
2018-12-10,5343.25
2018-12-11,5343.25
2018-12-12,5343.61
2018-12-13,5343.61
2018-12-14,5343.61
2018-12-15,5311.54
2018-12-16,5311.54
2018-12-17,5311.54
2018-12-18,5311.54
2018-12-19,5315.45
2018-12-20,5311.54
2018-12-21,5311.54
2018-12-22,5311.54
2018-12-23,5311.54
2018-12-24,5311.54
2018-12-25,5311.54
2018-12-26,5311.54
2018-12-27,5311.54
2018-12-28,5311.54
2018-12-29,5327.58
2018-12-30,5327.58
2018-12-31,5327.58
2019-01-01,5248.39
2019-01-02,5248.39
2019-01-03,5244.38
2019-01-04,5138.65
2019-01-05,5138.65
2019-01-06,5138.65
2019-01-07,5103.49
2019-01-08,5103.49
2019-01-09,5103.49
2019-01-10,5099.58
2019-01-11,5085.69
2019-01-12,5085.69
2019-01-13,5085.69
2019-01-14,5085.69
2019-01-15,5085.69
2019-01-16,5327.07
2019-01-17,5598.53
2019-01-18,5593.14
2019-01-19,5593.14
2019-01-20,5593.14
2019-01-21,5575.83
2019-01-22,5575.58
2019-01-23,5680.6
2019-01-24,5680.6
2019-01-25,5670.1
2019-01-26,5670.1
2019-01-27,5670.1
2019-01-28,5677.98
2019-01-29,5677.98
2019-01-30,5677.98
2019-01-31,5677.98
2019-02-01,5691.1
